Employee Number,Username/LastName,Password,Role,First Name,Last Name
0,matibag,Admin123,Admin,Abby,Matibag
0,giltendez,Admin123,Admin,Danilo,Giltendez
0,parocha,Admin123,Admin,Edward,Parocha
0,roldan,Admin123,Admin,Kurt,Roldan
0,caparas,Admin123,Admin,Sylani,Caparas
1,garcia,motorPH1,Employee,Manuel III,Garcia
2,lim,motorPH2,Employee,Antonio,Lim
3,aquino,motorPH3,Employee,Bianca Sofia,Aquino
4,reyes,motorPH4,Employee,Isabella,Reyes
5,hernandez,motorPH5,Employee,Eduard,Hernandez
6,villanueva,motorPH6,Employee,Andrea Mae,Villanueva
7,san jose,motorPH7,Employee,Brad,San Jose
8,romualdez,motorPH8,Employee,Alice,Romualdez
9,atienza,motorPH9,Employee,Rosie,Atienza
10,alvaro,motorPH10,Employee,Roderick,Alvaro
11,salcedo,motorPH11,Employee,Anthony,Salcedo
12,lopez,motorPH12,Employee,Josie,Lopez
13,farala,motorPH13,Employee,Martha,Farala
14,martinez,motorPH14,Employee,Leila,Martinez
15,romualdez,motorPH15,Employee,Fredrick,Romualdez
16,mata,motorPH16,Employee,Christian,Mata
17,de leon,motorPH17,Employee,Selena,De Leon
18,san jose,motorPH18,Employee,Allison,San Jose
19,rosario,motorPH19,Employee,Cydney,Rosario
20,bautista,motorPH20,Employee,Mark,Bautista
21,lazaro,motorPH21,Employee,Darlene,Lazaro
22,delos santos,motorPH22,Employee,Kolby,Delos Santos
23,santos,motorPH23,Employee,Vella,Santos
24,del rosario,motorPH24,Employee,Tomas,Del Rosario
25,tolentino,motorPH25,Employee,Jacklyn,Tolentino
26,gutierrez,motorPH26,Employee,Percival,Gutierrez
27,manalaysay,motorPH27,Employee,Garfield,Manalaysay
28,villegas,motorPH28,Employee,Lizeth,Villegas
29,ramos,motorPH29,Employee,Carol,Ramos
30,maceda,motorPH30,Employee,Emelia,Maceda
31,aguilar,motorPH31,Employee,Delia,Aguilar
32,castro,motorPH32,Employee,John Rafael,Castro
33,martinez,motorPH33,Employee,Carlos Ian,Martinez
34,santos,motorPH34,Employee,Beatriz,Santos
35,abegail,motorPH35,Employee,Matibag,Abegail
35,abby,motorPH35,Employee,Matibag,Abby
